crop,district,market,price,arrival,quantity,unit,literacy,forecast
Rice,davanagere,davanagere market,1931.93,2025-07-11,1813,kg,89.2,Slight showers
Tomato,davanagere,davanagere market,2821.08,2025-08-17,60,quintal,89.2,Price may drop
Rice,Mysuru,Mysuru Mandi,2506.7,2025-08-16,1575,ton,81.8,Sunny weather
Maize,chitradurga,chitradurga market,895.95,2025-09-12,1682,quintal,81.8,Price may drop
Tomato,davanagere,davanagere market,1879.1,2025-07-28,2977,kg,89.2,Cold wave
Tomato,davanagere,davanagere market,2986.38,2025-10-15,1488,quintal,89.2,Rain expected
Tomato,Tumkur,Tumkur Mandi,2959.51,2025-08-09,1868,kg,80.8,Heatwave
Maize,Mysuru,Mysuru Mandi,2131.69,2025-08-26,1293,ton,81.8,Price may drop
Cotton,Kolar,Kolar Market,2161.73,2025-07-29,2798,kg,58.7,Drought warning
Rice,Tumkur,Tumkur Mandi,1187.0,2025-07-19,1382,ton,80.8,Heatwave
Rice,davanagere,davanagere market,1708.67,2025-08-16,935,ton,89.2,Slight showers
Tomato,chitradurga,chitradurga market,1383.2,2025-07-17,143,ton,81.8,Sunny weather
Rice,Kolar,Kolar Market,3411.17,2025-09-18,2968,kg,58.7,Rising prices
Wheat,Kolar,Kolar Market,2475.63,2025-08-07,2970,ton,58.7,Price may drop
Cotton,Tumkur,Tumkur Mandi,2261.23,2025-09-13,932,kg,80.8,Drought warning
Tomato,Kolar,Kolar Market,3142.54,2025-08-14,1249,quintal,58.7,Flood risk
Tomato,chitradurga,chitradurga market,2497.92,2025-09-29,2791,kg,81.8,Sunny weather
Maize,Tumkur,Tumkur Mandi,1772.81,2025-07-12,2574,ton,80.8,Drought warning
Wheat,chitradurga,chitradurga market,3093.6,2025-08-26,2011,ton,81.8,Heatwave
Tomato,chitradurga,chitradurga market,989.6,2025-07-08,830,ton,81.8,Slight showers
Maize,davanagere,davanagere market,1497.89,2025-08-01,118,quintal,89.2,Cold wave
Wheat,Mysuru,Mysuru Mandi,2751.24,2025-10-09,972,ton,81.8,Rain expected
Tomato,Kolar,Kolar Market,2210.41,2025-07-05,1421,quintal,58.7,Price may drop
Rice,Kolar,Kolar Market,2865.36,2025-09-29,1879,quintal,58.7,Stable
Wheat,Tumkur,Tumkur Mandi,1271.58,2025-08-14,880,quintal,80.8,Slight showers
Rice,Tumkur,Tumkur Mandi,2713.07,2025-08-28,2283,ton,80.8,Rain expected
Maize,chitradurga,chitradurga market,3176.54,2025-09-13,1223,ton,81.8,Slight showers
Cotton,davanagere,davanagere market,1256.99,2025-10-11,175,ton,89.2,Cold wave
Wheat,davanagere,davanagere market,796.12,2025-07-04,1079,kg,89.2,Flood risk
Maize,Tumkur,Tumkur Mandi,3047.73,2025-09-26,1471,ton,80.8,Stable
Wheat,Kolar,Kolar Market,706.25,2025-10-19,1274,ton,58.7,Price may drop
Tomato,davanagere,davanagere market,2852.05,2025-08-20,641,ton,89.2,Price may drop
Wheat,Kolar,Kolar Market,3002.14,2025-08-01,1781,quintal,58.7,Sunny weather
Rice,Tumkur,Tumkur Mandi,2469.78,2025-09-18,1905,kg,80.8,Rain expected
Wheat,davanagere,davanagere market,1273.14,2025-09-29,2152,ton,89.2,Rising prices
Wheat,Mysuru,Mysuru Mandi,1075.3,2025-09-02,861,ton,81.8,Cold wave
Maize,Mysuru,Mysuru Mandi,1552.12,2025-07-01,2707,quintal,81.8,Stable
Cotton,davanagere,davanagere market,1511.34,2025-10-18,2103,quintal,89.2,Sunny weather
Rice,davanagere,davanagere market,990.17,2025-09-08,757,kg,89.2,Flood risk
Wheat,Tumkur,Tumkur Mandi,2015.07,2025-10-17,752,quintal,80.8,Stable
Tomato,Mysuru,Mysuru Mandi,809.65,2025-10-04,1680,quintal,81.8,Heatwave
Maize,chitradurga,chitradurga market,1678.02,2025-07-22,1964,kg,81.8,Rain expected
Maize,Kolar,Kolar Market,803.26,2025-09-19,194,kg,58.7,Rising prices
Rice,Kolar,Kolar Market,3460.54,2025-09-27,1337,ton,58.7,Price may drop
Tomato,davanagere,davanagere market,909.41,2025-10-11,308,quintal,89.2,Heatwave
Wheat,Tumkur,Tumkur Mandi,2904.41,2025-09-11,874,quintal,80.8,Stable
Tomato,Kolar,Kolar Market,2071.25,2025-09-14,1848,ton,58.7,Slight showers
Rice,davanagere,davanagere market,1173.85,2025-07-14,894,quintal,89.2,Rising prices
Tomato,davanagere,davanagere market,3003.87,2025-07-22,2443,quintal,89.2,Slight showers
Tomato,Tumkur,Tumkur Mandi,2802.44,2025-09-23,2452,quintal,80.8,Rising prices
Tomato,davanagere,davanagere market,1563.11,2025-07-17,845,kg,89.2,Drought warning
Maize,Tumkur,Tumkur Mandi,724.1,2025-07-16,820,kg,80.8,Stable
Wheat,chitradurga,chitradurga market,2919.48,2025-09-13,96,quintal,81.8,Stable
Rice,Mysuru,Mysuru Mandi,2247.74,2025-09-25,145,quintal,81.8,Rising prices
Maize,Tumkur,Tumkur Mandi,3403.47,2025-08-05,1093,quintal,80.8,Stable
Rice,davanagere,davanagere market,1020.11,2025-08-18,200,kg,89.2,Cold wave
Wheat,chitradurga,chitradurga market,849.24,2025-07-29,216,ton,81.8,Heatwave
Rice,davanagere,davanagere market,956.01,2025-07-13,2923,ton,89.2,Sunny weather
Tomato,Kolar,Kolar Market,1870.39,2025-08-24,736,quintal,58.7,Rising prices
Rice,Tumkur,Tumkur Mandi,2960.16,2025-10-22,1164,ton,80.8,Drought warning
Maize,Mysuru,Mysuru Mandi,1866.21,2025-07-05,732,kg,81.8,Rain expected
Tomato,davanagere,davanagere market,3194.6,2025-09-14,2920,quintal,89.2,Cold wave
Rice,Tumkur,Tumkur Mandi,879.59,2025-07-05,205,quintal,80.8,Slight showers
Wheat,Kolar,Kolar Market,2929.27,2025-08-23,389,kg,58.7,Sunny weather
Wheat,Mysuru,Mysuru Mandi,2556.42,2025-08-24,1807,quintal,81.8,Drought warning
Tomato,davanagere,davanagere market,1443.95,2025-10-23,1938,kg,89.2,Stable
Cotton,Tumkur,Tumkur Mandi,2882.66,2025-08-08,574,quintal,80.8,Rain expected
Wheat,Tumkur,Tumkur Mandi,1728.66,2025-07-30,82,kg,80.8,Rising prices
Cotton,Tumkur,Tumkur Mandi,2956.77,2025-09-24,1801,ton,80.8,Stable
Maize,davanagere,davanagere market,2834.62,2025-09-02,2241,ton,89.2,Price may drop
Maize,davanagere,davanagere market,3345.99,2025-09-05,2442,kg,89.2,Stable
Wheat,Mysuru,Mysuru Mandi,2229.92,2025-07-03,667,kg,81.8,Drought warning
Wheat,Tumkur,Tumkur Mandi,3453.85,2025-10-06,2703,quintal,80.8,Heatwave
Tomato,Kolar,Kolar Market,2968.96,2025-09-02,2884,quintal,58.7,Sunny weather
Wheat,Tumkur,Tumkur Mandi,1629.02,2025-10-22,227,quintal,80.8,Rain expected
Rice,Mysuru,Mysuru Mandi,1659.03,2025-09-13,1661,kg,81.8,Price may drop
Tomato,Mysuru,Mysuru Mandi,1662.2,2025-09-08,1340,quintal,81.8,Stable
Wheat,Mysuru,Mysuru Mandi,2169.59,2025-08-18,479,ton,81.8,Cold wave
Tomato,Tumkur,Tumkur Mandi,3457.07,2025-08-15,232,quintal,80.8,Sunny weather
Maize,chitradurga,chitradurga market,1540.57,2025-08-18,328,ton,81.8,Heatwave
Cotton,Mysuru,Mysuru Mandi,3133.74,2025-07-23,1771,kg,81.8,Rain expected
Rice,davanagere,davanagere market,1698.76,2025-07-23,2117,quintal,89.2,Rising prices
Tomato,chitradurga,chitradurga market,2736.39,2025-08-01,2188,ton,81.8,Rain expected
Cotton,Kolar,Kolar Market,3032.46,2025-08-01,410,quintal,58.7,Rain expected
Rice,chitradurga,chitradurga market,881.67,2025-07-11,223,ton,81.8,Price may drop
Tomato,chitradurga,chitradurga market,2907.01,2025-08-01,2475,kg,81.8,Heatwave
Tomato,davanagere,davanagere market,2868.15,2025-07-02,107,kg,89.2,Rising prices
Rice,davanagere,davanagere market,3116.71,2025-08-10,2331,quintal,89.2,Flood risk
Rice,Kolar,Kolar Market,1188.19,2025-08-29,965,quintal,58.7,Sunny weather
Maize,davanagere,davanagere market,3394.97,2025-08-23,1813,ton,89.2,Slight showers
Maize,Mysuru,Mysuru Mandi,3149.44,2025-08-14,1418,ton,81.8,Sunny weather
Cotton,davanagere,davanagere market,3284.51,2025-07-31,1941,quintal,89.2,Rain expected
Wheat,Mysuru,Mysuru Mandi,1676.45,2025-09-11,690,kg,81.8,Slight showers
Tomato,chitradurga,chitradurga market,2809.23,2025-10-04,2944,kg,81.8,Slight showers
Tomato,Tumkur,Tumkur Mandi,2022.52,2025-07-08,670,kg,80.8,Heatwave
Rice,davanagere,davanagere market,2348.61,2025-09-10,2459,kg,89.2,Cold wave
Cotton,Kolar,Kolar Market,1493.47,2025-07-06,146,kg,58.7,Rising prices
Wheat,Kolar,Kolar Market,2907.39,2025-07-27,2528,ton,58.7,Stable
Maize,Kolar,Kolar Market,2800.93,2025-07-28,587,quintal,58.7,Drought warning
Wheat,chitradurga,chitradurga market,1407.15,2025-09-12,2913,kg,81.8,Heatwave
Rice,davanagere,davanagere market,1894.66,2025-09-29,2936,quintal,89.2,Flood risk
Cotton,Kolar,Kolar Market,1973.14,2025-08-21,361,quintal,58.7,Drought warning
Tomato,Mysuru,Mysuru Mandi,776.17,2025-08-05,557,ton,81.8,Stable
Cotton,Tumkur,Tumkur Mandi,1143.33,2025-10-18,1819,ton,80.8,Stable
Rice,davanagere,davanagere market,3472.92,2025-07-29,1484,kg,89.2,Rising prices
Rice,chitradurga,chitradurga market,2368.36,2025-10-18,2016,kg,81.8,Stable
Rice,Kolar,Kolar Market,3401.5,2025-09-18,791,kg,58.7,Stable
Cotton,chitradurga,chitradurga market,2027.15,2025-08-07,1766,quintal,81.8,Cold wave
Wheat,Kolar,Kolar Market,1084.39,2025-08-13,1360,quintal,58.7,Rising prices
Wheat,davanagere,davanagere market,1466.59,2025-08-20,1225,kg,89.2,Heatwave
Rice,chitradurga,chitradurga market,870.06,2025-10-08,498,quintal,81.8,Price may drop
Maize,chitradurga,chitradurga market,2050.35,2025-07-03,2893,kg,81.8,Stable
Maize,Mysuru,Mysuru Mandi,2611.16,2025-10-22,1601,ton,81.8,Flood risk
Rice,Kolar,Kolar Market,2624.07,2025-09-07,2702,ton,58.7,Cold wave
Rice,davanagere,davanagere market,3229.18,2025-07-24,2016,quintal,89.2,Slight showers
Cotton,Mysuru,Mysuru Mandi,1606.05,2025-10-25,2287,ton,81.8,Stable
Wheat,Mysuru,Mysuru Mandi,2031.62,2025-07-31,1375,quintal,81.8,Rising prices
Cotton,Mysuru,Mysuru Mandi,3191.42,2025-07-28,2113,quintal,81.8,Flood risk
Wheat,Tumkur,Tumkur Mandi,1635.69,2025-09-02,2270,ton,80.8,Cold wave
Maize,davanagere,davanagere market,2168.78,2025-08-07,1967,quintal,89.2,Rising prices
Wheat,chitradurga,chitradurga market,2394.33,2025-07-03,2523,quintal,81.8,Heatwave
Rice,davanagere,davanagere market,2822.5,2025-09-29,2418,quintal,89.2,Slight showers
Wheat,chitradurga,chitradurga market,1872.08,2025-09-05,164,kg,81.8,Drought warning
Tomato,Kolar,Kolar Market,2103.8,2025-07-14,2624,ton,58.7,Flood risk
Maize,davanagere,davanagere market,2975.07,2025-10-06,308,kg,89.2,Drought warning
Wheat,chitradurga,chitradurga market,1108.2,2025-08-03,509,kg,81.8,Sunny weather
Tomato,Kolar,Kolar Market,998.92,2025-07-01,1489,quintal,58.7,Heatwave
Wheat,Mysuru,Mysuru Mandi,1110.04,2025-08-16,455,kg,81.8,Cold wave
Maize,Tumkur,Tumkur Mandi,3148.33,2025-08-24,1592,quintal,80.8,Stable
Wheat,davanagere,davanagere market,3475.82,2025-07-23,2521,quintal,89.2,Rain expected
Maize,Mysuru,Mysuru Mandi,3204.24,2025-08-14,897,ton,81.8,Sunny weather
Tomato,Tumkur,Tumkur Mandi,3080.32,2025-08-26,1459,kg,80.8,Cold wave
Cotton,davanagere,davanagere market,3231.78,2025-09-16,2574,ton,89.2,Cold wave
Maize,Kolar,Kolar Market,3401.03,2025-08-02,560,kg,58.7,Rain expected
Rice,Kolar,Kolar Market,955.77,2025-09-09,825,ton,58.7,Drought warning
Rice,Kolar,Kolar Market,1580.76,2025-08-11,2027,quintal,58.7,Stable
Rice,Kolar,Kolar Market,2511.54,2025-08-23,2275,quintal,58.7,Flood risk
Wheat,Mysuru,Mysuru Mandi,2542.52,2025-09-16,2929,kg,81.8,Stable
Tomato,Kolar,Kolar Market,1311.28,2025-09-22,571,quintal,58.7,Rising prices
Cotton,davanagere,davanagere market,3474.99,2025-07-13,472,quintal,89.2,Slight showers
Maize,Kolar,Kolar Market,765.63,2025-10-23,2205,kg,58.7,Slight showers
Rice,chitradurga,chitradurga market,992.6,2025-10-23,2243,kg,81.8,Flood risk
Tomato,chitradurga,chitradurga market,2247.41,2025-09-29,170,quintal,81.8,Price may drop
Rice,Kolar,Kolar Market,1437.71,2025-08-27,1646,ton,58.7,Rising prices
Maize,davanagere,davanagere market,1985.81,2025-10-17,2990,ton,89.2,Cold wave
Rice,Mysuru,Mysuru Mandi,1232.96,2025-09-19,125,quintal,81.8,Stable
Maize,Tumkur,Tumkur Mandi,976.03,2025-08-12,290,quintal,80.8,Price may drop
Wheat,Tumkur,Tumkur Mandi,2796.66,2025-07-07,894,ton,80.8,Stable
Wheat,Mysuru,Mysuru Mandi,3210.61,2025-07-09,2506,ton,81.8,Slight showers
Tomato,davanagere,davanagere market,2752.78,2025-09-11,832,ton,89.2,Rain expected
Wheat,Tumkur,Tumkur Mandi,3079.74,2025-09-26,2540,quintal,80.8,Rising prices
Rice,davanagere,davanagere market,3369.21,2025-10-16,1208,quintal,89.2,Heatwave
Wheat,Tumkur,Tumkur Mandi,2465.45,2025-10-15,2523,kg,80.8,Heatwave
Wheat,chitradurga,chitradurga market,1586.49,2025-07-09,73,ton,81.8,Heatwave
Maize,chitradurga,chitradurga market,2226.82,2025-09-15,725,quintal,81.8,Flood risk
Rice,Tumkur,Tumkur Mandi,2048.89,2025-09-16,793,kg,80.8,Drought warning
Tomato,Kolar,Kolar Market,2067.96,2025-07-07,2179,kg,58.7,Rising prices
Rice,Tumkur,Tumkur Mandi,1433.3,2025-09-20,2132,ton,80.8,Stable
Rice,Mysuru,Mysuru Mandi,2395.59,2025-08-15,1089,quintal,81.8,Slight showers
Rice,davanagere,davanagere market,2748.8,2025-08-03,995,ton,89.2,Stable
Maize,Mysuru,Mysuru Mandi,2714.71,2025-10-15,734,ton,81.8,Flood risk
Tomato,davanagere,davanagere market,1562.22,2025-10-04,2815,ton,89.2,Rising prices
Tomato,chitradurga,chitradurga market,2437.47,2025-09-23,2393,kg,81.8,Rising prices
Wheat,Tumkur,Tumkur Mandi,1052.18,2025-08-02,1621,ton,80.8,Rising prices
Wheat,Kolar,Kolar Market,1096.43,2025-09-13,1741,quintal,58.7,Price may drop
Maize,davanagere,davanagere market,2261.85,2025-07-07,1127,quintal,89.2,Slight showers
Tomato,davanagere,davanagere market,2075.65,2025-10-15,2859,kg,89.2,Stable
Tomato,chitradurga,chitradurga market,1994.16,2025-08-25,502,quintal,81.8,Slight showers
Tomato,Kolar,Kolar Market,783.15,2025-07-26,182,ton,58.7,Price may drop
Tomato,Kolar,Kolar Market,2930.29,2025-08-31,919,quintal,58.7,Slight showers
Tomato,davanagere,davanagere market,2434.56,2025-08-19,1394,kg,89.2,Sunny weather
Maize,davanagere,davanagere market,993.7,2025-08-11,24,quintal,89.2,Sunny weather
Wheat,Kolar,Kolar Market,2335.44,2025-09-22,1563,quintal,58.7,Heatwave
Cotton,davanagere,davanagere market,2203.17,2025-08-20,513,ton,89.2,Sunny weather
Maize,Mysuru,Mysuru Mandi,1292.91,2025-08-20,1204,quintal,81.8,Heatwave
Tomato,chitradurga,chitradurga market,3445.61,2025-10-19,26,quintal,81.8,Drought warning
Tomato,Kolar,Kolar Market,1051.78,2025-07-19,513,quintal,58.7,Drought warning
Cotton,Mysuru,Mysuru Mandi,2840.48,2025-08-19,918,ton,81.8,Drought warning
Maize,Tumkur,Tumkur Mandi,719.77,2025-08-25,1533,ton,80.8,Slight showers
Rice,Kolar,Kolar Market,1423.51,2025-09-05,2669,ton,58.7,Sunny weather
Rice,chitradurga,chitradurga market,1914.03,2025-08-22,412,kg,81.8,Price may drop
Tomato,Mysuru,Mysuru Mandi,2571.38,2025-07-31,1433,quintal,81.8,Heatwave
Maize,Tumkur,Tumkur Mandi,2095.56,2025-08-29,791,quintal,80.8,Price may drop
Rice,Tumkur,Tumkur Mandi,2603.97,2025-08-24,1511,kg,80.8,Sunny weather
Maize,Mysuru,Mysuru Mandi,1710.45,2025-10-12,2131,ton,81.8,Sunny weather
Cotton,davanagere,davanagere market,2920.68,2025-07-08,1543,quintal,89.2,Stable
Wheat,Mysuru,Mysuru Mandi,3254.16,2025-09-13,29,quintal,81.8,Stable
Cotton,Mysuru,Mysuru Mandi,932.73,2025-09-08,1892,ton,81.8,Sunny weather
Maize,chitradurga,chitradurga market,3098.95,2025-09-21,359,ton,81.8,Cold wave
Tomato,chitradurga,chitradurga market,1788.98,2025-08-23,117,quintal,81.8,Sunny weather
Wheat,chitradurga,chitradurga market,1861.78,2025-10-12,1592,ton,81.8,Price may drop
Wheat,Mysuru,Mysuru Mandi,2119.47,2025-08-06,2870,quintal,81.8,Rising prices
Wheat,Tumkur,Tumkur Mandi,3094.13,2025-10-02,2179,quintal,80.8,Slight showers
Rice,Kolar,Kolar Market,2156.24,2025-10-05,1415,ton,58.7,Cold wave
Tomato,Mysuru,Mysuru Mandi,982.28,2025-10-13,557,kg,81.8,Drought warning
Tomato,Tumkur,Tumkur Mandi,1904.54,2025-10-20,970,kg,80.8,Rain expected
Cotton,davanagere,davanagere market,3010.26,2025-10-12,567,kg,89.2,Cold wave
Tomato,Tumkur,Tumkur Mandi,3177.16,2025-07-07,2547,kg,80.8,Heatwave
Tomato,Mysuru,Mysuru Mandi,1312.48,2025-07-26,2327,ton,81.8,Flood risk
Maize,davanagere,davanagere market,2452.22,2025-08-21,2789,ton,89.2,Slight showers
Wheat,davanagere,davanagere market,824.65,2025-09-28,1215,kg,89.2,Rising prices
Cotton,Mysuru,Mysuru Mandi,961.16,2025-08-17,2777,ton,81.8,Flood risk
Maize,Kolar,Kolar Market,3155.19,2025-08-05,2466,ton,58.7,Heatwave
Maize,davanagere,davanagere market,2512.78,2025-08-21,2087,quintal,89.2,Slight showers
Maize,Mysuru,Mysuru Mandi,1954.48,2025-07-15,2357,kg,81.8,Flood risk
Rice,Mysuru,Mysuru Mandi,3211.7,2025-09-27,2239,quintal,81.8,Sunny weather
Cotton,Kolar,Kolar Market,1919.0,2025-08-03,515,quintal,58.7,Cold wave
Cotton,davanagere,davanagere market,2300.59,2025-10-18,2371,kg,89.2,Price may drop
Tomato,Tumkur,Tumkur Mandi,2974.02,2025-09-19,1015,kg,80.8,Flood risk
Maize,chitradurga,chitradurga market,3051.26,2025-10-15,1003,quintal,81.8,Heatwave
Maize,Kolar,Kolar Market,1093.14,2025-09-10,1367,kg,58.7,Rain expected
Maize,Tumkur,Tumkur Mandi,1840.81,2025-07-26,964,kg,80.8,Stable
Cotton,Kolar,Kolar Market,1103.66,2025-07-12,1636,ton,58.7,Rain expected
Cotton,Mysuru,Mysuru Mandi,2867.94,2025-07-30,1039,ton,81.8,Rising prices
Rice,chitradurga,chitradurga market,1417.79,2025-08-14,2343,ton,81.8,Drought warning
Cotton,Kolar,Kolar Market,3322.81,2025-09-24,1993,ton,58.7,Cold wave
Maize,davanagere,davanagere market,962.68,2025-09-23,1980,ton,89.2,Rain expected
Cotton,Tumkur,Tumkur Mandi,2292.95,2025-09-17,1042,quintal,80.8,Rain expected
Tomato,Mysuru,Mysuru Mandi,727.83,2025-10-06,760,quintal,81.8,Stable
Maize,Kolar,Kolar Market,2073.07,2025-09-13,762,ton,58.7,Rain expected
Maize,Kolar,Kolar Market,2103.99,2025-08-19,1660,kg,58.7,Rain expected
Rice,Tumkur,Tumkur Mandi,2959.95,2025-10-21,1892,kg,80.8,Flood risk
Tomato,Mysuru,Mysuru Mandi,2077.27,2025-07-28,505,quintal,81.8,Heatwave
Wheat,Mysuru,Mysuru Mandi,1059.51,2025-10-23,1682,kg,81.8,Stable
Cotton,chitradurga,chitradurga market,2250.56,2025-08-26,692,kg,81.8,Rain expected
Tomato,Tumkur,Tumkur Mandi,1591.18,2025-08-24,901,quintal,80.8,Cold wave
Maize,Tumkur,Tumkur Mandi,2726.82,2025-08-06,1113,quintal,80.8,Drought warning
Tomato,davanagere,davanagere market,2337.84,2025-09-22,90,quintal,89.2,Heatwave
Tomato,Tumkur,Tumkur Mandi,3320.29,2025-09-30,2506,quintal,80.8,Sunny weather
Cotton,davanagere,davanagere market,2132.17,2025-09-19,777,kg,89.2,Heatwave
Cotton,davanagere,davanagere market,2411.39,2025-10-07,776,ton,89.2,Cold wave
Tomato,davanagere,davanagere market,3022.44,2025-08-22,2532,kg,89.2,Heatwave
Maize,Mysuru,Mysuru Mandi,1282.23,2025-07-27,1490,kg,81.8,Rain expected
Tomato,chitradurga,chitradurga market,864.25,2025-07-16,2426,ton,81.8,Cold wave
Rice,Mysuru,Mysuru Mandi,1386.68,2025-09-22,143,kg,81.8,Sunny weather
Maize,chitradurga,chitradurga market,1506.99,2025-10-20,2898,quintal,81.8,Stable
Wheat,Kolar,Kolar Market,1032.52,2025-10-02,921,quintal,58.7,Slight showers
Wheat,Tumkur,Tumkur Mandi,2660.57,2025-08-11,1102,quintal,80.8,Drought warning
Cotton,Mysuru,Mysuru Mandi,947.13,2025-07-19,755,ton,81.8,Price may drop
Maize,Kolar,Kolar Market,2344.07,2025-10-26,659,ton,58.7,Drought warning
Tomato,Mysuru,Mysuru Mandi,2243.65,2025-09-24,1040,quintal,81.8,Flood risk
Cotton,Tumkur,Tumkur Mandi,1576.7,2025-07-15,1550,quintal,80.8,Rising prices
Maize,Tumkur,Tumkur Mandi,2382.09,2025-07-24,2215,kg,80.8,Stable
Maize,Kolar,Kolar Market,2734.41,2025-08-15,383,kg,58.7,Rain expected
Tomato,chitradurga,chitradurga market,1619.66,2025-10-15,1672,kg,81.8,Heatwave
Wheat,davanagere,davanagere market,1135.62,2025-08-06,2119,kg,89.2,Heatwave
Cotton,Kolar,Kolar Market,2557.05,2025-09-20,2391,quintal,58.7,Flood risk
Tomato,Kolar,Kolar Market,2160.24,2025-10-13,1833,kg,58.7,Rain expected
Cotton,Mysuru,Mysuru Mandi,1074.67,2025-08-15,1167,ton,81.8,Slight showers
Cotton,Tumkur,Tumkur Mandi,1444.25,2025-07-12,992,quintal,80.8,Rain expected
Cotton,Kolar,Kolar Market,2743.16,2025-08-21,791,ton,58.7,Cold wave
Rice,Tumkur,Tumkur Mandi,1487.12,2025-09-25,419,ton,80.8,Stable
Wheat,chitradurga,chitradurga market,1245.26,2025-10-08,2040,ton,81.8,Rain expected
Tomato,davanagere,davanagere market,2879.22,2025-07-08,2932,ton,89.2,Rain expected
Tomato,Mysuru,Mysuru Mandi,2127.63,2025-08-25,1059,ton,81.8,Sunny weather
Tomato,Mysuru,Mysuru Mandi,2067.55,2025-08-01,2738,ton,81.8,Stable
Tomato,chitradurga,chitradurga market,819.52,2025-07-03,2473,kg,81.8,Heatwave
Maize,chitradurga,chitradurga market,1652.87,2025-09-11,1256,ton,81.8,Stable
Maize,Tumkur,Tumkur Mandi,736.8,2025-08-13,2130,kg,80.8,Rain expected
Wheat,Kolar,Kolar Market,2032.06,2025-10-20,2777,quintal,58.7,Rising prices
Tomato,Mysuru,Mysuru Mandi,2235.22,2025-07-09,1676,ton,81.8,Price may drop
Tomato,chitradurga,chitradurga market,3365.03,2025-07-22,2187,ton,81.8,Heatwave
Cotton,Kolar,Kolar Market,3380.55,2025-08-12,1844,quintal,58.7,Price may drop
Wheat,davanagere,davanagere market,2798.63,2025-08-26,197,quintal,89.2,Price may drop
Rice,Mysuru,Mysuru Mandi,1742.76,2025-09-21,897,quintal,81.8,Drought warning
Cotton,Kolar,Kolar Market,1477.51,2025-10-13,2864,ton,58.7,Flood risk
Tomato,Kolar,Kolar Market,880.3,2025-08-15,675,quintal,58.7,Price may drop
Tomato,Mysuru,Mysuru Mandi,1889.94,2025-10-25,923,ton,81.8,Price may drop
Wheat,davanagere,davanagere market,1168.12,2025-09-15,407,quintal,89.2,Sunny weather
Cotton,Tumkur,Tumkur Mandi,877.65,2025-08-19,664,quintal,80.8,Rising prices
Maize,Tumkur,Tumkur Mandi,2145.55,2025-07-31,60,quintal,80.8,Flood risk
Tomato,Tumkur,Tumkur Mandi,1260.37,2025-09-07,2241,ton,80.8,Sunny weather
Cotton,Mysuru,Mysuru Mandi,2344.23,2025-09-26,2955,quintal,81.8,Rising prices
Wheat,Tumkur,Tumkur Mandi,2602.58,2025-07-08,2046,ton,80.8,Drought warning
Cotton,chitradurga,chitradurga market,1291.67,2025-07-04,1382,quintal,81.8,Cold wave
Tomato,davanagere,davanagere market,2931.98,2025-08-27,2849,kg,89.2,Rising prices
Maize,Kolar,Kolar Market,2292.56,2025-07-02,1261,ton,58.7,Sunny weather
Maize,Tumkur,Tumkur Mandi,3065.5,2025-07-27,1827,kg,80.8,Slight showers
Wheat,davanagere,davanagere market,770.73,2025-07-14,2788,quintal,89.2,Price may drop
